id,f0,f1,f2,product
txn00001,0.7054,1.1078,0.3570,27.8965
txn00002,-1.1474,0.3263,0.0835,160.8449
txn00003,0.3157,-0.2784,1.1673,93.1143
txn00004,-0.2816,-0.0148,-0.6837,53.9773
txn00005,1.9697,-0.6042,-0.6039,0.0000
txn00006,0.5218,-0.2641,0.1243,70.1348
txn00007,-0.3410,0.7148,0.2884,110.9921
txn00008,0.0816,-0.1547,0.5455,84.0387
txn00009,-0.2977,1.6050,-0.1615,132.4578
txn00010,0.8479,-0.3567,-0.1728,39.0135
txn00011,1.3092,0.8487,-1.1224,17.5245
txn00012,-0.5781,0.4428,0.6589,99.3401
txn00013,0.1968,-0.1063,0.4487,82.5677
txn00014,-1.3469,0.8567,1.3451,121.3459
txn00015,0.4510,-0.8219,-0.1374,56.2345
txn00016,1.0255,0.3124,0.3856,68.9012
txn00017,-0.6831,1.2340,-0.5421,145.6789
txn00018,0.2144,-0.4567,0.8901,77.2345
txn00019,0.9876,-0.1234,0.0567,42.8901
txn00020,-0.4521,0.6789,0.2345,105.6789
txn00021,0.3456,-0.7890,1.0123,89.0123
txn00022,1.2345,-0.5678,0.1234,31.2345
txn00023,-0.8901,1.0123,-0.3456,138.4567
txn00024,0.5678,-0.2345,0.6789,75.6789
txn00025,-0.1234,0.4567,0.8901,112.3456
txn00026,0.7890,-0.3456,-0.1234,48.9012
txn00027,-1.0123,0.7890,0.4567,128.7890
txn00028,0.4567,-0.6789,0.2345,63.4567
txn00029,0.1234,0.8901,-0.5678,97.8901
txn00030,-0.6789,0.2345,0.7890,117.2345
txn00031,1.1234,-0.4567,0.0123,35.6789
txn00032,-0.3456,0.5678,-0.2345,101.0123
txn00033,0.8901,-0.1234,0.5678,72.3456
txn00034,-0.2345,1.3456,-0.7890,143.5678
txn00035,0.6789,-0.8901,0.3456,58.9012
txn00036,-0.5678,0.1234,0.9012,126.1234
txn00037,0.3456,0.4567,-0.3456,85.4567
txn00038,1.5678,-0.2345,0.1234,22.3456
txn00039,-0.7890,0.9012,0.5678,135.7890
txn00040,0.2345,-0.5678,0.7890,79.2345
txn00041,0.0123,0.6789,-0.1234,108.6789
txn00042,-1.2345,0.3456,0.8901,151.3456
txn00043,0.9012,-0.7890,-0.4567,44.9012
txn00044,-0.4567,0.1234,0.3456,95.1234
txn00045,0.5678,0.8901,-0.6789,66.8901
txn00046,-0.1234,-0.2345,1.2345,119.2345
txn00047,1.3456,-0.4567,0.2345,28.4567
txn00048,-0.8901,0.5678,-0.1234,139.5678
txn00049,0.4567,-0.1234,0.4567,81.4567
txn00050,0.7890,0.2345,-0.3456,52.2345
txn00051,-0.2345,0.7890,0.6789,114.7890
txn00052,0.1234,-0.4567,0.9012,88.4567
txn00053,1.0123,-0.8901,0.0123,37.8901
txn00054,-0.5678,1.1234,-0.5678,147.1234
txn00055,0.8901,-0.3456,0.3456,61.3456
txn00056,-0.3456,0.4567,0.7890,103.4567
txn00057,0.6789,-0.6789,0.1234,74.6789
txn00058,-0.9012,0.8901,-0.2345,131.8901
txn00059,0.2345,0.1234,0.5678,92.1234
txn00060,0.5678,-0.2345,-0.1234,47.2345
txn00061,-0.1234,0.6789,0.8901,122.6789
txn00062,1.2345,-0.5678,0.2345,33.5678
txn00063,-0.6789,0.3456,-0.4567,141.3456
txn00064,0.3456,-0.1234,0.6789,78.1234
txn00065,0.0123,0.9012,0.0123,107.9012
txn00066,-0.4567,0.2345,0.4567,116.2345
txn00067,0.9012,-0.7890,-0.3456,41.7890
txn00068,-0.2345,0.5678,0.9012,129.5678
txn00069,0.7890,-0.4567,0.1234,69.4567
txn00070,0.4567,0.1234,-0.7890,54.1234
txn00071,-1.0123,0.8901,0.5678,148.8901
txn00072,0.1234,-0.3456,0.3456,86.3456
txn00073,0.5678,0.4567,-0.1234,62.4567
txn00074,-0.3456,1.2345,0.7890,137.2345
txn00075,0.8901,-0.6789,0.2345,46.6789
txn00076,-0.7890,0.1234,-0.5678,124.1234
txn00077,0.2345,-0.2345,0.8901,94.2345
txn00078,1.1234,0.5678,0.0123,29.5678
txn00079,-0.4567,0.7890,-0.3456,142.7890
txn00080,0.6789,-0.1234,0.5678,73.1234
txn00081,-0.1234,0.3456,0.4567,111.3456
txn00082,0.3456,-0.8901,0.1234,57.8901
txn00083,-0.5678,0.6789,0.9012,133.6789
txn00084,0.9012,0.0123,-0.2345,40.0123
txn00085,-0.2345,0.4567,0.6789,118.4567
txn00086,0.7890,-0.5678,0.3456,65.5678
txn00087,0.0123,0.8901,-0.4567,100.8901
txn00088,-0.8901,0.2345,0.8901,144.2345
txn00089,0.4567,-0.3456,0.0123,50.3456
txn00090,1.0123,-0.1234,-0.1234,34.1234
txn00091,-0.6789,0.9012,0.5678,136.9012
txn00092,0.2345,-0.6789,0.7890,83.6789
txn00093,0.5678,0.3456,-0.6789,59.3456
txn00094,-0.3456,1.0123,0.2345,125.0123
txn00095,0.8901,-0.4567,0.4567,71.4567
txn00096,-0.1234,0.1234,0.3456,109.1234
txn00097,0.6789,-0.7890,-0.1234,43.7890
txn00098,-0.4567,0.5678,0.9012,140.5678
txn00099,0.1234,-0.2345,0.6789,90.2345
txn00100,0.9012,0.6789,0.1234,55.6789
